DIVIPOLA 2011  (VIVIENDAS, HOGARES Y PERSONAS 2005);Clase;Departamento;Municipio;Nombre centro;Tipo;Manzanas;Viviendas;Hogares;Personas;Grados;Minutos;Segundos;Latitud;grados;minutos;segundos;Longitud;geo_point
500012024;2;META;VILLAVICENCIO;CONDOMINIO DE LOS ODONTOLOGOS;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
500012025;2;META;VILLAVICENCIO;CONDOMINIO SANTA BARBARA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053762007;2;ANTIOQUIA;LA CEJA;SANTO DOMINGO SABIO;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
500012026;2;META;VILLAVICENCIO;LLANERITA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
500012027;2;META;VILLAVICENCIO;NATURALIA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
500012028;2;META;VILLAVICENCIO;PARCELAS DEL PROGRESO;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270063000;3;CHOCO;ACANDI;ACANDI;R;0.0;854.0;804.0;3097.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270251000;1;CHOCO;ALTO BAUDO;CIUDAD BAUDO;CM;30.0;1073.0;1070.0;6300.0;-76.0;58.0;28.2062982;;5.0;30.0;57.351941856;5.51593109496;-76.9745017495,5.51593109496
053802010;2;ANTIOQUIA;LA ESTRELLA;LA RAYA;CP;8.0;49.0;47.0;182.0;-75.0;38.0;25.52110872;;6.0;6.0;44.429060448;6.11234140568;-75.6404225302,6.11234140568
270252003;2;CHOCO;ALTO BAUDO;APARTADO;IP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
053802012;2;ANTIOQUIA;LA ESTRELLA;TARAPACA;CP;2.0;45.0;44.0;150.0;-75.0;39.0;1.25706744001;;6.0;9.0;50.561901684;6.16404497269;-75.6503491854,6.16404497269
053802019;2;ANTIOQUIA;LA ESTRELLA;LA BERMEJALA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270252007;2;CHOCO;ALTO BAUDO;SAN FRANCISCO DE CUGUCHO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
270252011;2;CHOCO;ALTO BAUDO;BATATAL;IP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054002001;2;ANTIOQUIA;LA UNION;MESOPOTAMIA;C;17.0;164.0;150.0;564.0;-75.0;19.0;0.317551439978;;5.0;52.0;58.460901384;5.88290580594;-75.3167548754,5.88290580594
270252012;2;CHOCO;ALTO BAUDO;BELLA VISTA;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
502872002;2;META;FUENTE DE ORO;PUERTO LIMON;IPD;23.0;103.0;86.0;296.0;-73.0;29.0;17.22394752;;3.0;22.0;9.279362136;3.36924426726;-73.4881177632,3.36924426726
502872003;2;META;FUENTE DE ORO;PUERTO SANTANDER;IPD;13.0;133.0;127.0;498.0;-73.0;30.0;54.3510504;;3.0;22.0;12.807854688;3.37022440408;-73.515097514,3.37022440408
054003000;3;ANTIOQUIA;LA UNION;LA UNION;R;0.0;1993.0;1790.0;7636.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
054112001;2;ANTIOQUIA;LIBORINA;EL CARMEN - LA VENTA;C;15.0;59.0;51.0;171.0;-75.0;45.0;0.678073679995;;6.0;40.0;56.039997144;6.68223333254;-75.7501883538,6.68223333254
270252017;2;CHOCO;ALTO BAUDO;GEANDO;C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
